input,expected_tool_name,expected_tool_args,actual_tool_calls,matched_tool_call,evaluation_result,output,latency_ms,token_usage,execution_success,error
"Create a 1-hour team sync on May 5, 2025 from 10:00 to 11:00 in Europe/Amsterdam timezone.",create_calendar_event,"{""summary"": ""Team sync"", ""start_datetime"": ""2025-05-05 10:00:00"", ""end_datetime"": ""2025-05-05 11:00:00""}",[],,FAIL,,457,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
Schedule a doctor's appointment next Tuesday at 15:30 for 30 minutes.,create_calendar_event,"{""summary"": ""Doctor's appointment"", ""start_datetime"": ""2024-07-23 15:30:00"", ""end_datetime"": ""2024-07-23 16:00:00""}",[],,FAIL,,200,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
"Book ""Project kickoff"" tomorrow at 09:00 and add a Google Meet link.",create_calendar_event,"{""summary"": ""Project kickoff"", ""start_datetime"": ""2024-07-17 09:00:00"", ""end_datetime"": ""2024-07-17 10:00:00""}",[],,FAIL,,420,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
"Add an event called ""Mom's birthday"" on 2025-06-14 all day, with a popup reminder 1440 minutes before.",create_calendar_event,"{""summary"": ""Mom's birthday"", ""start_datetime"": ""2025-06-14 00:00:00"", ""end_datetime"": ""2025-06-15 00:00:00""}",[],,FAIL,,144,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
"Set up the weekly stand-up for next Monday, July 22nd, 2024, at 08:30 for 1 hour.",create_calendar_event,"{""summary"": ""Weekly stand-up"", ""start_datetime"": ""2024-07-22 08:30:00"", ""end_datetime"": ""2024-07-22 09:30:00""}",[],,FAIL,,119,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
What do I have on my calendar today from 12:00 to 17:00?,get_calendar_events,"{""start_datetime"": ""2024-07-16 12:00:00"", ""end_datetime"": ""2024-07-16 17:00:00""}",[],,FAIL,,210,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
List all events between 2025-05-01 00:00:00 and 2025-05-07 23:59:59.,get_calendar_events,"{""start_datetime"": ""2025-05-01 00:00:00"", ""end_datetime"": ""2025-05-07 23:59:59"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime""}",[],,FAIL,,165,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
Show me events for this week (starting now).,get_calendar_events,"{""start_datetime"": ""2024-07-16 09:00:00"", ""end_datetime"": ""2024-07-21 23:59:59""}",[],,FAIL,,167,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
Retrieve the details of event with ID abc123xyz.,get_calendar_event,"{""event_id"": ""abc123xyz"", ""calendar_id"": ""primary""}",[],,FAIL,,334,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
"Cancel the ""Budget review"" meeting happening on 2025-04-29 at 14:00.",get_calendar_events,"{""summary"": ""Budget review"", ""start_datetime"": ""2025-04-29 00:00:00"", ""end_datetime"": ""2025-04-29 23:59:59""}",[],,FAIL,,110,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
Schedule a 15-minute coffee break tomorrow at 10:45.,create_calendar_event,"{""summary"": ""Coffee break"", ""start_datetime"": ""2024-07-17 10:45:00"", ""end_datetime"": ""2024-07-17 11:00:00""}",[],,FAIL,,281,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
Block out 2 hours for deep work this Friday starting at 14:00.,create_calendar_event,"{""summary"": ""Deep Work Session"", ""start_datetime"": ""2024-07-19 14:00:00"", ""end_datetime"": ""2024-07-19 16:00:00""}",[],,FAIL,,118,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
"Add 'Gym session' for July 25th, 2024 from 18:00 to 19:30.",create_calendar_event,"{""summary"": ""Gym session"", ""start_datetime"": ""2024-07-25 18:00:00"", ""end_datetime"": ""2024-07-25 19:30:00""}",[],,FAIL,,477,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
"Put 'Review presentation' on the calendar for August 1st, 2024, 11:00-11:30.",create_calendar_event,"{""summary"": ""Review presentation"", ""start_datetime"": ""2024-08-01 11:00:00"", ""end_datetime"": ""2024-08-01 11:30:00""}",[],,FAIL,,134,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
"Create event: 'Client Call', Date: 2024-07-24, Time: 16:00, Duration: 45 minutes.",create_calendar_event,"{""summary"": ""Client Call"", ""start_datetime"": ""2024-07-24 16:00:00"", ""end_datetime"": ""2024-07-24 16:45:00""}",[],,FAIL,,121,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
"Book 'Team Building Activity' all day on August 15th, 2024.",create_calendar_event,"{""summary"": ""Team Building Activity"", ""start_datetime"": ""2024-08-15 00:00:00"", ""end_datetime"": ""2024-08-16 00:00:00""}",[],,FAIL,,138,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
Need to schedule ' Dentist' for next Monday at 9 AM for 1 hour.,create_calendar_event,"{""summary"": ""Dentist"", ""start_datetime"": ""2024-07-22 09:00:00"", ""end_datetime"": ""2024-07-22 10:00:00""}",[],,FAIL,,114,,False,"Error code: 404 - {'error': {'message': 'No endpoints found that support tool use. To learn more about provider routing, visit: https://openrouter.ai/docs/provider-routing', 'code': 404}}"
